At time[2], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[2.5], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[3], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[3.5], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[12.5], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[13], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[13.5], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[14], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[23], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[23.5], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[24], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[24.5], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[33.5], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[34], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[34.5], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[35], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[44], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[44.5], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[45], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[45.5], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[54.5], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[55], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[55.5], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[56], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[65], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[65.5], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[66], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[66.5], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[75.5], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[76], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[76.5], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[77], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[86], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[86.5], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[87], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[87.5], Node[0] Sending [ACK] with number [0] , Loss [YES]
At time[96.5], Node[0] Sending [ACK] with number [1] , Loss [YES]
At time[97], Node[0] Sending [ACK] with number [2] , Loss [YES]
At time[97.5], Node[0] Sending [ACK] with number [3] , Loss [YES]
At time[98], Node[0] Sending [ACK] with number [0] , Loss [YES]
